,城市代码,迁出目的地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,2.46,2.19,2.25,2.11,1.22,1.18,0.87,1.9,2.7,2.32,2.31,2.14,2.21,2.36,2.09,1.04,1.06,0.89,1.49,2.33,3.79,4.56,5.09,4.39,3.76,3.76,2.57,2.3,2.09,2.64,2.4,2.04,2.14,2.12,2.37,2.4,2.02,1.78,1.7,2.24,2.29,1.95,1.78,1.98,2.25,2.76,2.0,2.18,1.78,2.09,1.52,1.47,1.74,1.8,1.78,1.79,1.43,1.5,1.27
73,320100,南京市,0.75,0.77,0.82,0.71,0.46,0.37,0.33,0.81,1.19,1.04,1.08,0.99,0.92,0.63,0.84,0.39,0.43,0.51,0.67,0.84,1.15,0.92,1.05,1.21,1.0,0.84,0.77,0.81,0.72,0.78,0.74,0.62,0.83,0.68,0.66,0.72,0.74,0.66,0.85,0.84,0.83,0.74,0.67,0.62,0.79,1.0,0.69,0.53,0.66,0.74,0.6,0.46,0.51,0.76,0.65,0.61,0.48,0.52,0.54
74,320200,无锡市,0.47,0.53,0.52,0.37,0.27,0.2,0.14,0.28,0.54,0.52,0.52,0.42,0.43,0.46,0.46,0.23,0.21,0.22,0.39,0.51,0.56,0.53,0.53,0.51,0.51,0.43,0.57,0.39,0.44,0.32,0.37,0.6,0.42,0.42,0.41,0.37,0.38,0.41,0.37,0.33,0.52,0.48,0.39,0.38,0.41,0.45,0.43,0.46,0.46,0.23,0.27,0.34,0.32,0.39,0.39,0.29,0.32,0.37,0.36
76,320400,常州市,0.33,0.33,0.32,0.26,0.23,0.19,0.11,0.17,0.26,0.25,0.36,0.34,0.21,0.27,0.24,0.17,0.09,0.16,0.25,0.3,0.38,0.27,0.29,0.37,0.29,0.27,0.42,0.27,0.29,0.33,0.29,0.17,0.29,0.27,0.28,0.25,0.18,0.26,0.24,0.27,0.25,0.23,0.19,0.28,0.23,0.31,0.29,0.19,0.17,0.18,0.15,0.12,0.19,0.19,0.14,0.14,0.22,0.18,0.19
77,320500,苏州市,0.81,1.0,0.74,0.71,0.43,0.47,0.36,0.68,1.17,1.03,0.94,0.88,0.91,0.77,0.75,0.48,0.59,0.76,1.22,1.24,1.42,1.67,1.43,1.43,1.29,1.05,1.0,1.01,0.91,0.81,0.75,0.99,0.76,0.89,0.89,0.84,0.68,0.83,0.59,0.78,0.93,1.1,0.83,0.75,0.61,1.03,1.03,0.98,0.83,0.83,0.73,0.78,0.77,0.8,0.77,0.87,0.71,0.7,0.72
78,320600,南通市,0.14,0.25,0.3,0.31,0.16,0.13,0.09,0.12,0.28,0.33,0.22,0.26,0.33,0.31,0.28,0.15,0.16,0.14,0.17,0.17,0.22,0.19,0.26,0.25,0.25,0.21,0.27,0.17,0.2,0.13,0.47,0.35,0.18,0.18,0.23,0.21,0.16,0.21,0.13,0.1,0.16,0.18,0.13,0.15,0.22,0.15,0.19,0.25,0.18,0.16,0.12,0.17,0.16,0.22,0.16,0.13,0.12,0.21,0.13
82,321000,扬州市,0.09,0.14,0.13,0.09,0.09,0.0,0.05,0.06,0.17,0.12,0.09,0.18,0.19,0.19,0.16,0.08,0.11,0.1,0.11,0.11,0.09,0.1,0.13,0.16,0.13,0.21,0.17,0.16,0.22,0.15,0.23,0.09,0.12,0.17,0.17,0.13,0.12,0.16,0.11,0.11,0.13,0.0,0.1,0.09,0.14,0.12,0.0,0.12,0.0,0.09,0.08,0.13,0.0,0.14,0.11,0.16,0.0,0.13,0.0
83,321100,镇江市,0.18,0.22,0.27,0.17,0.14,0.1,0.1,0.1,0.22,0.22,0.2,0.22,0.25,0.19,0.21,0.1,0.1,0.09,0.15,0.2,0.21,0.17,0.22,0.27,0.23,0.18,0.18,0.18,0.2,0.24,0.25,0.13,0.14,0.22,0.17,0.16,0.18,0.2,0.15,0.14,0.14,0.22,0.21,0.19,0.17,0.21,0.15,0.17,0.16,0.23,0.19,0.15,0.2,0.07,0.16,0.15,0.21,0.12,0.09
86,330100,杭州市,1.69,1.55,1.46,1.45,1.08,0.74,0.96,1.9,2.55,2.33,1.71,1.71,1.88,1.5,1.22,1.03,1.05,1.57,2.46,3.22,3.72,3.32,2.97,2.77,2.22,2.24,1.73,1.82,1.59,1.9,1.59,1.37,1.49,1.78,1.72,1.69,1.74,1.58,1.43,1.81,1.93,1.66,1.33,1.27,1.34,1.66,1.92,1.72,1.44,1.71,1.59,1.17,1.4,1.49,1.55,1.38,1.26,1.26,1.47
87,330200,宁波市,0.81,0.94,0.73,0.52,0.37,0.28,0.18,0.54,1.09,1.12,0.7,0.74,0.99,0.61,0.58,0.35,0.35,0.55,1.15,1.35,1.54,1.3,1.35,1.16,1.1,0.93,0.88,0.7,0.75,0.68,0.71,0.6,0.64,0.74,0.71,0.66,0.51,0.59,0.47,0.64,0.76,0.69,0.58,0.6,0.37,0.76,0.84,0.85,0.87,0.59,0.46,0.62,0.63,0.6,0.65,0.5,0.44,0.59,0.39
89,330400,嘉兴市,0.37,0.46,0.5,0.38,0.26,0.22,0.11,0.38,0.95,0.71,0.48,0.55,0.52,0.37,0.32,0.29,0.25,0.44,0.77,0.7,0.81,0.76,0.67,0.71,0.79,0.52,0.44,0.39,0.58,0.5,0.43,0.47,0.44,0.43,0.43,0.46,0.46,0.41,0.44,0.46,0.47,0.44,0.33,0.31,0.35,0.4,0.49,0.53,0.42,0.36,0.33,0.47,0.37,0.39,0.3,0.39,0.31,0.48,0.31
90,330500,湖州市,0.3,0.36,0.34,0.23,0.13,0.11,0.08,0.13,0.4,0.28,0.29,0.25,0.28,0.22,0.16,0.1,0.11,0.22,0.28,0.32,0.3,0.23,0.25,0.25,0.24,0.33,0.26,0.26,0.32,0.32,0.31,0.21,0.18,0.25,0.26,0.18,0.23,0.29,0.27,0.25,0.27,0.25,0.27,0.21,0.21,0.24,0.22,0.29,0.26,0.24,0.22,0.29,0.2,0.33,0.33,0.2,0.23,0.14,0.18
91,330600,绍兴市,0.25,0.3,0.27,0.27,0.19,0.2,0.06,0.22,0.43,0.4,0.39,0.25,0.35,0.2,0.27,0.15,0.17,0.22,0.42,0.47,0.41,0.41,0.4,0.36,0.34,0.3,0.33,0.31,0.29,0.31,0.23,0.22,0.25,0.31,0.21,0.25,0.25,0.24,0.23,0.3,0.22,0.29,0.27,0.27,0.21,0.37,0.38,0.26,0.24,0.26,0.33,0.32,0.18,0.3,0.28,0.26,0.29,0.32,0.22
94,330900,舟山市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.13,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.07,0.06,0.07,0.0,0.09,0.12,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.08,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,340100,合肥市,0.77,0.69,0.79,0.82,0.65,0.55,0.42,0.69,0.78,0.67,0.62,0.76,0.94,0.66,0.71,0.64,0.59,0.69,0.75,0.75,0.81,0.69,0.72,0.68,0.58,0.53,0.57,0.68,0.74,0.86,0.76,0.56,0.65,0.72,0.75,0.59,0.61,0.74,0.65,0.81,0.7,0.64,0.74,0.51,0.75,0.81,0.74,0.8,0.8,0.72,0.8,0.75,0.68,0.77,0.7,0.81,0.73,0.66,0.56
98,340200,芜湖市,0.47,0.55,0.64,0.51,0.4,0.47,0.27,0.26,0.47,0.44,0.38,0.42,0.56,0.5,0.64,0.43,0.38,0.4,0.36,0.3,0.3,0.21,0.24,0.43,0.46,0.29,0.39,0.57,0.65,0.63,0.44,0.46,0.5,0.47,0.53,0.39,0.44,0.39,0.44,0.47,0.49,0.56,0.47,0.5,0.31,0.57,0.66,0.58,0.91,0.65,0.57,0.63,0.44,0.63,0.57,0.71,0.63,0.51,0.65
