,城市代码,迁出目的地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,23.25,19.82,19.65,18.56,16.56,18.16,26.08,30.2,22.17,20.83,18.89,20.06,22.03,20.23,19.62,11.83,13.25,18.39,23.37,27.34,30.79,30.7,28.05,21.13,19.93,23.55,21.08,20.74,21.08,21.34,19.67,23.9,26.35,21.33,21.32,21.11,20.7,19.14,25.44,28.22,23.13,22.24,21.58,21.93,19.73,27.34,20.17,20.64,20.94,21.76,21.19,27.27,29.82,23.7,23.26,23.62,22.08,20.94,26.11
73,320100,南京市,5.19,5.51,5.84,6.17,4.8,4.17,8.77,10.78,10.33,8.98,8.12,8.08,6.88,5.69,4.84,4.43,4.54,6.71,9.09,11.67,12.95,13.42,11.92,11.63,10.79,7.9,6.59,6.98,6.57,6.84,7.28,6.21,6.68,5.71,5.62,6.07,6.93,6.83,6.29,6.54,6.07,6.25,6.49,7.39,7.18,6.77,6.21,5.86,6.38,7.08,6.61,7.15,6.86,6.07,5.92,5.97,6.71,6.66,6.77
74,320200,无锡市,5.03,5.5,5.04,5.01,5.16,5.17,6.38,6.4,5.07,4.84,5.22,5.65,4.95,4.83,4.79,4.43,5.11,6.5,6.77,6.67,6.11,4.83,5.01,5.26,5.31,4.95,5.12,4.94,5.07,5.22,5.77,5.76,5.47,5.12,5.16,5.04,5.79,6.42,5.74,5.64,5.6,5.32,5.41,5.86,6.03,5.49,6.33,5.43,5.07,5.07,5.6,5.24,5.36,5.16,5.36,5.08,5.27,5.45,5.69
76,320400,常州市,2.2,2.26,2.37,2.48,3.23,2.54,2.9,3.43,3.17,2.64,2.63,2.29,2.18,2.22,1.98,2.44,2.77,3.46,4.07,3.77,3.06,2.45,2.05,2.11,2.76,2.38,2.25,2.27,2.28,2.47,2.85,2.68,2.22,2.34,2.18,2.33,2.78,2.99,2.69,2.4,2.35,2.52,2.5,2.63,3.02,2.78,2.43,1.86,0.93,0.5,0.44,0.37,0.43,0.57,0.73,0.97,1.13,1.16,1.08
77,320500,苏州市,14.95,15.3,15.0,14.57,13.89,14.9,17.72,17.56,14.06,14.25,14.14,13.8,14.72,13.84,14.11,11.9,12.91,15.65,16.62,16.02,15.25,13.81,14.29,16.72,14.73,13.84,14.07,15.58,15.23,15.84,17.61,16.57,16.35,15.35,14.91,15.02,15.74,16.95,16.46,16.67,15.08,15.31,15.65,16.1,17.9,17.12,15.69,16.29,15.66,16.02,17.25,17.3,17.49,16.27,16.05,15.8,17.17,17.89,17.31
78,320600,南通市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,321000,扬州市,1.4,1.57,1.88,2.07,2.19,2.13,1.72,1.82,1.83,1.75,1.68,1.8,1.92,2.02,1.83,2.61,2.34,2.43,2.06,1.69,1.44,1.54,1.76,1.95,2.82,2.77,2.39,2.34,2.3,2.61,2.84,2.91,2.52,2.39,2.24,2.32,2.55,2.6,1.9,1.98,1.99,2.1,2.09,2.5,2.59,2.06,2.27,2.42,2.1,2.55,2.55,2.03,1.95,2.21,2.24,2.34,2.42,2.49,2.11
83,321100,镇江市,1.02,1.56,1.49,1.79,1.69,1.6,1.84,1.54,1.59,1.37,1.3,1.35,1.2,1.2,1.28,1.44,1.51,1.68,1.71,1.34,1.3,1.23,1.31,1.24,1.31,1.35,1.27,1.26,1.24,1.41,1.57,1.3,1.25,1.31,1.36,1.3,1.32,1.56,1.39,1.21,1.26,1.27,1.32,1.41,1.44,1.3,1.38,1.27,1.24,1.35,1.26,1.19,1.2,1.35,1.34,1.19,1.34,1.55,1.39
86,330100,杭州市,1.9,2.07,1.82,1.76,1.49,1.22,1.49,1.75,1.93,2.06,1.84,1.66,1.88,1.84,1.5,1.57,1.63,1.66,1.72,1.75,1.99,2.15,1.89,1.84,1.83,1.71,1.95,1.73,1.92,2.15,1.89,1.74,1.77,1.95,2.16,1.99,1.84,1.91,1.56,1.82,1.92,1.93,1.96,1.78,1.76,1.67,1.87,1.64,1.93,1.85,1.74,1.65,1.61,1.79,1.84,1.85,1.8,1.63,1.73
87,330200,宁波市,1.22,1.11,0.97,0.86,0.7,0.65,0.55,0.73,0.99,0.92,0.91,1.09,0.88,0.93,1.0,0.86,0.76,0.73,0.8,0.79,0.82,0.91,0.81,0.95,0.87,0.97,1.08,1.03,1.06,0.94,0.79,0.7,0.98,1.08,1.01,0.97,0.94,0.9,0.76,1.02,1.06,1.08,0.93,0.93,0.84,0.89,1.08,1.16,1.08,1.05,0.9,0.82,1.0,1.05,0.97,1.08,0.92,0.89,0.79
89,330400,嘉兴市,1.77,1.47,1.47,1.19,1.18,1.12,0.87,1.21,1.38,1.52,1.3,1.19,1.3,1.32,1.16,1.02,1.0,1.06,1.06,0.91,0.91,0.87,1.01,1.01,1.15,1.11,1.2,1.38,1.31,1.28,1.3,1.29,1.2,1.36,1.31,1.34,1.2,1.33,1.13,1.18,1.33,1.34,1.29,1.17,1.27,1.18,1.34,1.32,1.12,1.24,1.01,1.03,1.09,1.2,1.26,1.34,1.25,1.24,0.94
90,330500,湖州市,0.66,0.76,0.62,0.57,0.6,0.48,0.39,0.47,0.56,0.72,0.7,0.62,0.62,0.6,0.51,0.6,0.78,0.79,0.67,0.54,0.44,0.41,0.53,0.45,0.81,0.88,0.97,0.96,0.66,0.6,0.72,0.61,0.55,0.65,0.69,0.67,0.65,0.69,0.54,0.65,0.64,0.59,0.57,0.56,0.6,0.53,0.65,0.54,0.71,0.52,0.58,0.44,0.56,0.62,0.58,0.69,0.66,0.59,0.5
91,330600,绍兴市,0.64,0.57,0.67,0.55,0.43,0.43,0.27,0.31,0.56,0.54,0.64,0.55,0.52,0.47,0.45,0.47,0.34,0.41,0.41,0.38,0.33,0.4,0.4,0.46,0.43,0.48,0.55,0.46,0.54,0.55,0.51,0.47,0.45,0.57,0.6,0.6,0.53,0.4,0.42,0.51,0.54,0.6,0.59,0.5,0.4,0.44,0.6,0.6,0.5,0.55,0.54,0.44,0.5,0.58,0.61,0.56,0.42,0.41,0.52
94,330900,舟山市,0.23,0.33,0.52,0.3,0.42,0.35,0.17,0.22,0.41,0.46,0.52,0.41,0.43,0.49,0.37,0.36,0.53,0.61,0.39,0.37,0.3,0.34,0.28,0.35,0.48,0.4,0.44,0.41,0.45,0.53,0.38,0.21,0.33,0.54,0.56,0.41,0.64,0.73,0.43,0.42,0.56,0.41,0.36,0.41,0.6,0.36,0.46,0.3,0.38,0.36,0.26,0.22,0.17,0.28,0.27,0.32,0.3,0.36,0.33
97,340100,合肥市,0.71,0.74,0.64,0.72,0.73,0.66,0.46,0.56,0.69,0.64,0.65,0.69,0.69,0.64,0.89,1.01,0.75,0.58,0.53,0.64,0.65,0.77,0.73,0.56,0.54,0.62,0.75,0.61,0.67,0.63,0.73,0.58,0.63,0.63,0.83,0.71,0.73,0.68,0.59,0.58,0.74,0.69,0.8,0.68,0.54,0.72,0.77,0.75,0.76,0.74,0.74,0.65,0.64,0.72,0.66,0.71,0.77,0.8,0.56
98,340200,芜湖市,0.31,0.29,0.27,0.37,0.41,0.34,0.22,0.2,0.27,0.34,0.22,0.28,0.32,0.32,0.34,0.54,0.45,0.29,0.26,0.24,0.21,0.21,0.24,0.22,0.25,0.19,0.29,0.28,0.28,0.26,0.26,0.23,0.27,0.29,0.29,0.31,0.28,0.29,0.21,0.27,0.33,0.29,0.27,0.3,0.29,0.25,0.34,0.31,0.35,0.37,0.32,0.23,0.22,0.3,0.27,0.3,0.31,0.28,0.26
101,340500,马鞍山市,0.21,0.19,0.15,0.19,0.23,0.2,0.17,0.13,0.15,0.19,0.18,0.18,0.19,0.18,0.23,0.34,0.23,0.22,0.19,0.18,0.16,0.21,0.18,0.16,0.18,0.14,0.23,0.21,0.19,0.28,0.18,0.13,0.17,0.17,0.19,0.16,0.21,0.21,0.23,0.16,0.17,0.13,0.2,0.19,0.19,0.15,0.18,0.21,0.25,0.21,0.2,0.14,0.17,0.24,0.19,0.2,0.23,0.19,0.12
103,340700,铜陵市,0.06,0.08,0.07,0.11,0.06,0.1,0.06,0.04,0.05,0.06,0.06,0.1,0.0,0.0,0.09,0.18,0.16,0.08,0.08,0.04,0.06,0.05,0.05,0.0,0.06,0.11,0.0,0.05,0.0,0.07,0.07,0.06,0.06,0.08,0.1,0.0,0.06,0.08,0.06,0.05,0.05,0.08,0.06,0.07,0.07,0.06,0.09,0.05,0.1,0.07,0.09,0.06,0.05,0.05,0.1,0.08,0.06,0.06,0.05
104,340800,安庆市,0.13,0.11,0.18,0.16,0.24,0.22,0.13,0.06,0.13,0.14,0.13,0.12,0.19,0.2,0.24,0.36,0.41,0.18,0.16,0.1,0.08,0.07,0.09,0.15,0.09,0.11,0.12,0.12,0.13,0.12,0.09,0.08,0.13,0.13,0.12,0.09,0.11,0.08,0.08,0.08,0.12,0.13,0.12,0.15,0.1,0.1,0.14,0.15,0.14,0.11,0.13,0.13,0.13,0.13,0.1,0.16,0.12,0.17,0.09
111,341700,池州市,0.07,0.09,0.08,0.09,0.14,0.12,0.05,0.06,0.13,0.14,0.1,0.09,0.09,0.1,0.15,0.16,0.16,0.11,0.1,0.09,0.05,0.05,0.07,0.08,0.09,0.1,0.08,0.11,0.14,0.11,0.09,0.08,0.11,0.12,0.11,0.16,0.14,0.11,0.08,0.05,0.09,0.1,0.07,0.07,0.11,0.07,0.07,0.09,0.1,0.08,0.1,0.07,0.05,0.06,0.07,0.08,0.1,0.07,0.06
122,360100,南昌市,0.15,0.15,0.1,0.12,0.09,0.08,0.07,0.06,0.15,0.16,0.12,0.14,0.14,0.13,0.18,0.18,0.17,0.08,0.09,0.08,0.09,0.17,0.16,0.2,0.13,0.11,0.15,0.15,0.17,0.1,0.15,0.15,0.13,0.15,0.15,0.15,0.13,0.14,0.1,0.09,0.17,0.17,0.16,0.13,0.11,0.12,0.12,0.11,0.1,0.09,0.07,0.07,0.1,0.14,0.15,0.12,0.11,0.11,0.09
125,360400,九江市,0.13,0.09,0.07,0.1,0.14,0.14,0.07,0.05,0.09,0.09,0.11,0.1,0.11,0.14,0.2,0.21,0.24,0.09,0.08,0.09,0.05,0.07,0.08,0.1,0.1,0.14,0.08,0.28,0.23,0.12,0.07,0.09,0.11,0.09,0.07,0.11,0.08,0.1,0.08,0.09,0.09,0.12,0.08,0.08,0.1,0.04,0.06,0.06,0.09,0.05,0.05,0.05,0.05,0.1,0.08,0.07,0.08,0.05,0.07
167,420100,武汉市,0.4,0.36,0.42,0.36,0.29,0.22,0.13,0.22,0.43,0.36,0.36,0.32,0.34,0.52,0.4,0.28,0.38,0.29,0.24,0.25,0.36,0.47,0.45,0.4,0.42,0.52,0.43,0.36,0.46,0.37,0.4,0.38,0.35,0.34,0.35,0.46,0.41,0.41,0.26,0.26,0.37,0.32,0.39,0.33,0.32,0.21,0.3,0.38,0.33,0.36,0.29,0.29,0.24,0.35,0.3,0.24,0.25,0.28,0.21
168,420200,黄石市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,420500,宜昌市,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.05,0.07,0.0,0.0,0.09,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,420700,鄂州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,421000,荆州市,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.07,0.1,0.09,0.09,0.1,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
176,421100,黄冈市,0.05,0.09,0.12,0.07,0.14,0.13,0.07,0.04,0.07,0.07,0.09,0.1,0.1,0.22,0.29,0.24,0.2,0.11,0.08,0.05,0.05,0.05,0.05,0.06,0.07,0.09,0.09,0.08,0.11,0.07,0.05,0.06,0.06,0.17,0.09,0.08,0.08,0.08,0.05,0.07,0.0,0.11,0.08,0.07,0.05,0.09,0.08,0.11,0.07,0.06,0.09,0.07,0.08,0.09,0.08,0.11,0.07,0.08,0.08
