,城市代码,迁入来源地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,3.86,4.11,3.98,4.81,5.86,3.71,1.85,1.85,3.09,3.16,3.47,3.81,3.99,4.88,5.95,8.72,8.12,3.81,2.26,1.71,1.51,1.55,2.13,2.49,2.74,3.58,3.91,3.89,3.94,3.7,4.33,3.09,3.61,4.56,4.25,4.1,4.01,4.55,3.05,3.59,3.98,4.09,4.17,3.97,4.18,3.73,4.14,3.98,3.97,4.05,4.58,2.84,3.33,4.07,4.28,4.27,3.88,4.36,2.68
73,320100,南京市,2.78,2.77,2.87,3.34,5.01,4.27,2.12,1.65,2.2,2.76,2.94,3.06,2.77,2.98,2.95,4.1,4.05,2.86,2.11,1.69,1.37,1.27,1.83,2.41,2.7,2.9,3.17,3.16,2.93,2.9,3.87,3.3,3.45,3.32,3.18,3.09,3.23,4.09,3.22,3.3,3.17,3.18,3.2,3.3,3.89,3.45,3.26,3.38,3.17,3.32,3.77,2.78,3.13,3.18,3.25,3.03,3.19,3.82,2.79
74,320200,无锡市,0.87,0.96,0.86,0.9,1.03,1.09,0.59,0.52,0.74,0.78,0.75,0.87,0.89,0.95,1.06,1.8,1.45,0.81,0.63,0.5,0.46,0.49,0.61,0.68,0.79,0.83,0.84,0.95,0.88,0.73,0.78,0.73,0.88,0.97,0.99,1.01,0.87,0.83,0.74,0.83,0.85,0.88,0.94,0.84,0.81,0.88,0.94,0.95,0.9,0.79,0.7,0.7,0.85,0.9,0.93,0.84,0.78,0.85,0.74
76,320400,常州市,0.61,0.61,0.6,0.67,0.83,0.95,0.48,0.4,0.57,0.57,0.59,0.63,0.74,0.72,0.77,1.4,0.99,0.66,0.57,0.45,0.4,0.43,0.46,0.55,0.53,0.58,0.62,0.72,0.69,0.56,0.61,0.63,0.64,0.89,0.65,0.68,0.63,0.66,0.58,0.56,0.67,0.68,0.7,0.64,0.62,0.7,0.7,0.46,0.43,0.39,0.3,0.24,0.24,0.34,0.37,0.39,0.4,0.44,0.35
77,320500,苏州市,1.75,1.84,1.88,1.91,2.45,2.03,1.02,0.98,1.55,1.53,1.68,1.9,2.81,3.01,3.09,3.19,2.93,1.7,1.21,0.96,0.87,0.91,1.15,1.21,1.3,1.72,1.72,1.83,1.81,1.65,1.74,1.6,1.8,1.86,1.94,1.9,1.78,1.84,1.46,1.84,1.9,1.87,1.8,1.6,1.71,1.84,1.95,1.85,1.86,1.68,1.67,1.34,1.65,1.74,1.75,1.84,1.6,1.66,1.29
78,320600,南通市,0.36,0.41,0.35,0.38,0.41,0.39,0.2,0.25,0.4,0.36,0.39,0.42,0.41,0.38,0.5,0.49,0.37,0.29,0.26,0.29,0.26,0.26,0.35,0.33,0.33,0.38,0.45,0.36,0.38,0.31,0.37,0.33,0.37,0.37,0.47,0.4,0.36,0.35,0.32,0.34,0.42,0.38,0.44,0.34,0.28,0.42,0.44,0.42,0.41,0.33,0.33,0.33,0.36,0.4,0.37,0.39,0.39,0.4,0.29
82,321000,扬州市,0.25,0.31,0.3,0.26,0.29,0.32,0.14,0.21,0.37,0.33,0.3,0.32,0.33,0.36,0.35,0.27,0.21,0.22,0.22,0.23,0.21,0.2,0.26,0.32,0.29,0.31,0.4,0.39,0.35,0.28,0.26,0.34,0.37,0.36,0.31,0.37,0.34,0.36,0.3,0.35,0.33,0.34,0.33,0.3,0.26,0.35,0.31,0.34,0.31,0.35,0.3,0.28,0.36,0.31,0.34,0.37,0.3,0.31,0.31
83,321100,镇江市,0.32,0.34,0.34,0.36,0.44,0.46,0.2,0.2,0.3,0.3,0.33,0.36,0.37,0.37,0.39,0.42,0.41,0.29,0.23,0.21,0.19,0.18,0.26,0.31,0.31,0.33,0.3,0.37,0.33,0.28,0.35,0.28,0.37,0.36,0.31,0.34,0.3,0.34,0.29,0.32,0.35,0.36,0.38,0.37,0.32,0.33,0.41,0.42,0.36,0.29,0.31,0.24,0.32,0.43,0.37,0.38,0.34,0.33,0.27
86,330100,杭州市,1.34,1.44,1.57,1.66,2.36,1.58,0.86,0.79,1.1,1.18,1.32,1.57,1.64,1.71,1.9,3.32,2.29,1.28,1.0,0.8,0.75,0.71,0.89,1.01,1.22,1.53,1.42,1.54,1.53,1.44,1.63,1.31,1.54,1.56,1.71,1.68,1.57,1.77,1.34,1.56,1.43,1.53,1.57,1.41,1.61,1.47,1.4,1.54,1.55,1.34,1.49,1.08,1.29,1.41,1.46,1.4,1.43,1.5,1.0
87,330200,宁波市,0.55,0.57,0.64,0.64,0.68,0.57,0.29,0.23,0.51,0.47,0.56,0.53,0.65,0.73,0.81,1.44,0.97,0.47,0.36,0.31,0.32,0.33,0.42,0.44,0.5,0.55,0.51,0.54,0.61,0.48,0.53,0.48,0.54,0.66,0.63,0.54,0.55,0.58,0.45,0.45,0.59,0.58,0.58,0.56,0.57,0.47,0.58,0.57,0.55,0.54,0.56,0.43,0.48,0.58,0.64,0.56,0.52,0.52,0.39
89,330400,嘉兴市,0.31,0.36,0.37,0.4,0.43,0.47,0.21,0.15,0.27,0.3,0.33,0.38,0.46,0.47,0.48,0.85,0.53,0.3,0.22,0.2,0.17,0.2,0.21,0.26,0.31,0.33,0.35,0.3,0.33,0.35,0.31,0.33,0.3,0.38,0.38,0.35,0.35,0.34,0.29,0.3,0.28,0.34,0.39,0.32,0.34,0.35,0.36,0.38,0.39,0.32,0.28,0.23,0.23,0.29,0.3,0.36,0.33,0.33,0.29
90,330500,湖州市,0.36,0.3,0.34,0.4,0.49,0.71,0.32,0.18,0.27,0.31,0.37,0.36,0.35,0.47,0.5,0.66,0.45,0.37,0.33,0.29,0.25,0.24,0.25,0.28,0.3,0.34,0.35,0.4,0.35,0.37,0.39,0.39,0.31,0.33,0.31,0.38,0.31,0.35,0.35,0.35,0.32,0.39,0.36,0.34,0.32,0.35,0.4,0.35,0.33,0.35,0.32,0.3,0.32,0.31,0.33,0.37,0.34,0.35,0.29
91,330600,绍兴市,0.22,0.22,0.27,0.23,0.23,0.24,0.12,0.11,0.23,0.2,0.18,0.18,0.23,0.25,0.25,0.35,0.26,0.16,0.15,0.12,0.15,0.13,0.16,0.18,0.19,0.21,0.25,0.22,0.24,0.17,0.18,0.16,0.19,0.27,0.21,0.21,0.22,0.21,0.16,0.13,0.22,0.25,0.23,0.18,0.19,0.18,0.21,0.23,0.28,0.21,0.17,0.14,0.18,0.18,0.18,0.21,0.17,0.17,0.13
94,330900,舟山市,0.0,0.0,0.0,0.0,0.05,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.06,0.05,0.04,0.07,0.08,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
97,340100,合肥市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,340200,芜湖市,4.92,4.69,5.15,5.43,6.5,6.83,6.19,4.3,4.18,4.77,5.03,4.83,4.71,4.7,4.57,6.84,6.82,6.01,5.39,4.72,4.52,4.75,4.69,4.89,4.78,4.65,4.48,4.64,4.73,5.22,5.5,5.61,4.85,4.53,4.73,4.95,5.51,5.84,6.07,5.28,4.77,4.85,4.94,5.45,5.83,5.25,4.92,5.3,5.12,5.55,5.82,5.81,5.21,4.89,5.15,4.94,5.56,5.77,5.91
101,340500,马鞍山市,4.3,4.53,4.51,4.82,5.09,5.22,4.14,3.12,3.99,4.39,4.52,4.53,4.37,4.53,4.86,4.7,4.27,3.87,3.18,2.88,2.62,3.09,3.08,4.1,4.3,4.18,4.69,4.74,4.72,4.78,4.42,4.53,4.15,4.82,4.78,4.78,4.73,4.74,4.4,4.31,4.82,4.95,4.85,5.77,5.01,4.09,5.19,5.47,5.15,5.2,5.29,4.65,4.49,5.39,5.22,5.07,5.15,5.13,4.64
103,340700,铜陵市,1.95,1.88,1.82,2.01,2.15,2.43,2.99,2.26,1.73,1.83,1.73,1.81,1.68,1.68,1.67,2.26,2.18,2.36,2.36,2.37,2.39,2.41,2.14,1.78,1.96,1.72,1.74,1.69,1.71,1.89,1.8,1.85,1.86,1.71,1.68,1.68,1.93,1.95,1.95,2.03,1.78,1.86,1.88,1.98,1.99,1.99,1.79,1.86,1.8,2.09,2.07,1.94,2.03,1.8,1.79,1.85,2.1,2.08,2.05
104,340800,安庆市,6.18,6.1,6.09,5.8,5.66,6.64,9.29,10.6,7.15,6.5,6.3,5.96,6.61,5.76,5.68,5.67,5.7,7.66,9.34,10.23,11.51,10.53,8.67,7.34,7.08,6.62,6.26,6.15,6.06,6.36,6.41,6.37,6.2,5.64,5.89,5.77,6.23,6.08,6.51,6.64,6.29,5.97,6.26,6.28,6.42,6.77,6.25,6.24,6.59,6.6,6.38,7.06,7.21,6.71,6.45,6.29,6.62,6.95,7.37
111,341700,池州市,1.54,1.75,1.64,1.6,1.57,1.74,1.93,1.72,1.4,1.49,1.6,1.54,1.54,1.7,1.55,1.52,1.53,2.11,2.67,2.83,3.01,2.63,2.05,1.63,1.64,1.58,1.51,1.67,1.6,1.75,1.58,1.7,1.49,1.44,1.37,1.56,1.69,1.52,1.91,1.55,1.51,1.62,1.74,1.74,1.62,1.62,1.52,1.61,1.58,1.82,1.6,1.69,1.4,1.41,1.48,1.54,1.63,1.55,1.86
122,360100,南昌市,0.28,0.37,0.38,0.38,0.34,0.25,0.12,0.17,0.28,0.26,0.34,0.3,0.31,0.31,0.4,0.44,0.34,0.19,0.18,0.14,0.17,0.19,0.25,0.24,0.29,0.38,0.37,0.32,0.33,0.34,0.36,0.23,0.32,0.36,0.38,0.43,0.31,0.35,0.26,0.29,0.31,0.36,0.36,0.31,0.32,0.32,0.29,0.3,0.29,0.26,0.27,0.21,0.2,0.26,0.29,0.32,0.27,0.26,0.2
125,360400,九江市,0.18,0.16,0.18,0.19,0.17,0.15,0.09,0.14,0.21,0.18,0.17,0.19,0.23,0.16,0.17,0.2,0.18,0.21,0.23,0.21,0.23,0.2,0.22,0.2,0.17,0.15,0.15,0.17,0.19,0.21,0.21,0.15,0.16,0.19,0.19,0.14,0.14,0.18,0.16,0.2,0.18,0.17,0.19,0.12,0.19,0.17,0.15,0.15,0.14,0.1,0.11,0.1,0.1,0.15,0.13,0.15,0.12,0.12,0.09
167,420100,武汉市,0.99,0.95,0.98,1.06,1.06,0.65,0.47,0.54,0.87,0.78,0.93,1.07,1.01,0.99,1.0,1.03,0.77,0.57,0.55,0.48,0.47,0.44,0.75,0.86,0.92,1.03,1.16,1.23,1.1,0.97,0.9,0.91,1.38,1.17,1.21,1.15,0.98,0.96,0.85,1.08,0.98,0.91,1.0,0.92,0.91,1.05,1.02,0.92,1.04,0.93,0.9,0.75,1.06,0.97,0.94,0.98,0.87,0.83,0.65
168,420200,黄石市,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.04,0.07,0.0,0.07,0.0,0.0,0.09,0.07,0.05,0.07,0.05,0.06,0.06,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.07,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.08,0.0,0.08,0.05,0.04,0.05,0.07,0.06,0.07,0.06,0.06,0.05,0.05
170,420500,宜昌市,0.08,0.07,0.1,0.08,0.05,0.04,0.02,0.05,0.07,0.07,0.09,0.0,0.07,0.06,0.07,0.05,0.04,0.03,0.05,0.06,0.06,0.06,0.08,0.09,0.0,0.0,0.08,0.07,0.1,0.07,0.06,0.05,0.07,0.07,0.0,0.08,0.07,0.05,0.07,0.08,0.07,0.0,0.0,0.06,0.0,0.07,0.07,0.0,0.07,0.05,0.0,0.06,0.05,0.05,0.07,0.06,0.08,0.05,0.0
172,420700,鄂州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
175,421000,荆州市,0.08,0.0,0.0,0.07,0.05,0.0,0.02,0.04,0.06,0.0,0.07,0.06,0.0,0.0,0.0,0.04,0.0,0.06,0.07,0.07,0.08,0.08,0.09,0.11,0.09,0.0,0.08,0.08,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.0,0.05,0.0,0.07,0.0,0.07,0.0,0.05,0.0,0.06,0.07,0.08,0.06,0.05,0.06,0.04,0.05,0.07,0.08,0.06,0.06,0.05
176,421100,黄冈市,0.2,0.2,0.17,0.18,0.13,0.14,0.09,0.18,0.23,0.19,0.14,0.19,0.15,0.15,0.14,0.11,0.15,0.23,0.25,0.3,0.28,0.2,0.2,0.2,0.19,0.18,0.17,0.12,0.19,0.16,0.13,0.14,0.17,0.17,0.19,0.19,0.16,0.13,0.13,0.16,0.14,0.18,0.17,0.14,0.13,0.23,0.18,0.17,0.16,0.15,0.14,0.16,0.17,0.19,0.17,0.17,0.17,0.13,0.12
177,421200,咸宁市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
184,430100,长沙市,0.33,0.41,0.37,0.43,0.33,0.25,0.16,0.21,0.35,0.38,0.34,0.39,0.35,0.39,0.41,0.39,0.32,0.18,0.2,0.24,0.3,0.27,0.4,0.36,0.34,0.4,0.43,0.43,0.42,0.37,0.35,0.37,0.52,0.49,0.43,0.31,0.26,0.21,0.19,0.22,0.26,0.24,0.2,0.16,0.16,0.2,0.27,0.24,0.28,0.28,0.23,0.21,0.33,0.27,0.36,0.31,0.28,0.26,0.22
189,430600,岳阳市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.07,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
252,500000,重庆市,0.43,0.5,0.42,0.48,0.39,0.35,0.17,0.18,0.38,0.43,0.52,0.58,0.46,0.47,0.5,0.25,0.28,0.19,0.18,0.22,0.24,0.25,0.36,0.36,0.42,0.51,0.55,0.55,0.55,0.44,0.38,0.44,0.44,0.51,0.6,0.57,0.44,0.41,0.44,0.45,0.58,0.47,0.55,0.43,0.33,0.39,0.41,0.44,0.37,0.31,0.28,0.25,0.21,0.21,0.21,0.26,0.19,0.16,0.16
253,510100,成都市,0.37,0.36,0.39,0.37,0.23,0.24,0.12,0.11,0.3,0.31,0.32,0.46,0.45,0.45,0.47,0.24,0.27,0.15,0.11,0.12,0.13,0.16,0.29,0.21,0.35,0.44,0.43,0.42,0.42,0.32,0.3,0.32,0.4,0.44,0.47,0.49,0.35,0.36,0.5,0.59,0.66,0.51,0.45,0.34,0.32,0.39,0.43,0.43,0.48,0.35,0.23,0.17,0.17,0.16,0.15,0.16,0.06,0.08,0.07
255,510400,攀枝花市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,510500,泸州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,511500,宜宾市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
