,城市代码,迁入来源地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,17.54,17.69,17.83,19.46,22.77,20.82,18.0,19.38,17.05,17.06,18.17,17.52,17.82,18.43,17.88,19.21,20.44,17.63,15.06,13.87,11.81,10.89,14.08,15.51,16.86,18.02,17.83,16.83,16.87,17.95,20.48,18.39,18.85,18.2,17.63,17.37,18.94,21.11,18.54,19.07,18.02,17.43,17.84,18.93,21.55,19.34,17.92,17.4,17.84,18.43,20.87,17.97,19.86,18.99,17.96,18.75,19.87,22.08,18.97
73,320100,南京市,0.67,0.73,0.63,0.79,0.99,0.68,0.44,0.82,1.18,1.03,1.34,0.75,0.71,0.59,0.67,0.84,0.96,0.87,0.72,0.72,0.59,0.51,0.62,0.59,0.67,0.63,0.7,0.66,0.65,0.58,0.73,0.63,0.83,0.73,0.83,0.79,0.81,0.69,0.69,0.84,0.72,0.81,0.63,0.69,0.75,0.73,0.72,0.64,0.63,0.54,0.39,0.46,0.48,0.47,0.52,0.61,0.5,0.51,0.44
74,320200,无锡市,1.4,1.42,1.32,1.16,1.19,1.37,1.32,1.66,1.55,1.79,1.38,1.3,1.38,1.45,1.47,1.38,1.33,1.3,1.24,1.05,0.99,0.93,1.38,1.23,1.08,1.37,1.31,1.35,1.28,1.47,1.2,1.31,1.53,1.34,1.41,1.26,1.32,1.17,1.29,1.54,1.36,1.37,1.23,1.17,1.2,1.5,1.4,1.4,1.25,1.12,1.08,1.13,1.3,1.3,1.34,1.24,1.26,1.08,1.12
76,320400,常州市,0.68,0.7,0.62,0.55,0.53,0.75,0.6,0.84,0.78,0.82,0.72,0.54,0.67,0.67,0.55,0.75,0.65,0.63,0.6,0.58,0.57,0.53,0.66,0.6,0.57,0.65,0.64,0.66,0.62,0.62,0.59,0.6,0.71,0.66,0.65,0.84,0.56,0.62,0.54,0.71,0.7,0.66,0.66,0.61,0.69,0.71,0.73,0.47,0.32,0.42,0.27,0.25,0.24,0.34,0.4,0.43,0.38,0.34,0.37
77,320500,苏州市,9.76,9.41,9.75,8.96,7.94,9.46,9.92,10.0,9.18,9.34,8.96,9.43,10.3,10.2,10.22,6.6,7.59,7.35,7.15,6.85,6.6,6.47,8.19,8.97,8.43,9.5,9.43,9.7,9.59,8.9,8.27,9.4,10.28,10.0,9.65,9.88,9.08,8.49,9.22,10.23,10.15,9.77,9.69,9.55,8.99,10.88,10.54,10.13,10.08,9.38,9.26,9.73,10.67,10.87,10.79,10.35,10.07,9.04,9.75
78,320600,南通市,1.1,0.97,1.01,0.83,0.8,0.79,0.71,1.26,1.03,0.96,0.81,0.78,0.9,0.94,0.85,0.77,0.71,0.82,0.91,0.89,0.97,0.88,0.93,0.8,0.87,0.8,0.8,0.94,0.86,0.83,0.81,0.96,0.88,0.87,0.84,0.85,0.8,0.83,0.8,0.87,0.84,0.84,0.8,0.75,0.77,0.87,0.86,0.82,0.75,0.89,0.71,0.83,0.88,0.81,0.86,0.87,0.87,0.81,0.73
82,321000,扬州市,0.15,0.2,0.19,0.19,0.14,0.12,0.09,0.19,0.25,0.23,0.17,0.18,0.23,0.21,0.19,0.15,0.14,0.21,0.22,0.28,0.26,0.26,0.24,0.26,0.25,0.23,0.22,0.2,0.2,0.2,0.19,0.17,0.21,0.22,0.26,0.22,0.22,0.17,0.16,0.24,0.19,0.21,0.21,0.24,0.18,0.23,0.2,0.19,0.22,0.2,0.16,0.15,0.14,0.19,0.15,0.16,0.17,0.12,0.17
83,321100,镇江市,0.28,0.27,0.24,0.19,0.18,0.21,0.25,0.36,0.58,0.39,0.3,0.22,0.21,0.22,0.24,0.21,0.28,0.28,0.28,0.22,0.24,0.22,0.28,0.22,0.19,0.2,0.22,0.22,0.29,0.22,0.19,0.19,0.26,0.19,0.26,0.25,0.18,0.31,0.24,0.21,0.23,0.21,0.22,0.26,0.2,0.22,0.19,0.21,0.26,0.18,0.15,0.17,0.21,0.2,0.22,0.17,0.21,0.18,0.19
86,330100,杭州市,34.64,33.65,34.69,35.92,37.73,37.05,37.19,31.29,28.91,32.52,33.95,34.26,33.85,34.75,35.84,31.65,30.49,29.67,27.32,25.98,25.56,25.2,28.06,31.22,34.48,32.3,34.21,35.42,34.43,34.35,35.17,35.76,33.31,33.59,34.59,34.7,35.25,36.64,36.95,33.81,34.42,35.53,36.81,35.81,36.73,35.05,36.05,37.27,37.36,38.78,40.48,40.33,37.97,38.14,38.91,38.9,38.58,39.57,39.5
87,330200,宁波市,3.55,3.58,3.99,3.93,4.47,4.67,4.92,4.12,3.72,3.64,3.42,3.79,3.65,3.62,4.21,8.3,7.24,6.46,5.52,5.2,4.86,4.62,3.84,3.44,3.19,3.54,3.27,3.34,3.62,3.92,3.95,3.42,3.81,3.6,3.65,3.77,3.97,3.64,3.97,4.01,4.02,3.82,3.98,3.86,4.1,3.92,4.13,3.77,3.76,3.92,3.52,3.44,3.72,3.74,3.66,3.63,3.91,3.55,3.59
89,330400,嘉兴市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,330500,湖州市,5.54,5.75,5.69,5.92,4.97,6.37,8.47,5.79,4.96,5.33,5.26,5.93,5.56,5.93,6.24,5.67,6.02,7.17,6.79,6.67,6.15,5.97,5.4,5.69,5.31,5.46,5.65,5.68,5.76,6.09,5.34,6.0,5.57,5.61,5.44,5.91,5.73,5.5,6.5,5.57,5.48,5.84,6.06,5.92,5.39,5.63,6.28,6.34,5.41,5.28,5.23,6.08,5.73,5.95,6.15,5.96,6.44,5.4,6.84
91,330600,绍兴市,3.26,2.88,2.83,2.88,2.8,3.18,4.15,3.73,2.69,2.87,2.38,2.7,2.72,2.74,2.81,4.1,3.98,3.9,3.92,3.74,3.31,3.63,3.01,2.63,2.5,2.72,2.43,2.65,3.01,3.09,2.81,2.86,2.73,2.79,2.69,2.79,2.96,2.68,3.02,2.96,2.75,2.91,2.85,3.04,2.98,2.94,2.8,2.97,2.85,2.94,2.74,3.1,3.21,2.66,2.87,2.96,2.88,2.72,3.22
94,330900,舟山市,0.14,0.2,0.52,0.52,0.51,0.49,0.74,0.45,0.38,0.4,0.59,0.77,0.66,0.52,0.72,0.67,0.77,1.37,1.59,1.59,1.35,1.26,0.68,0.63,0.59,0.55,0.47,0.47,0.7,0.99,0.52,0.43,0.45,0.49,0.53,0.85,0.87,0.7,0.73,0.63,0.51,0.59,0.66,0.7,0.55,0.49,0.44,0.54,0.56,0.63,0.38,0.41,0.21,0.31,0.35,0.37,0.41,0.38,0.38
97,340100,合肥市,0.42,0.45,0.4,0.46,0.4,0.32,0.27,0.49,0.59,0.46,0.55,0.45,0.43,0.38,0.32,0.58,0.54,0.51,0.52,0.62,0.62,0.59,0.67,0.63,0.45,0.52,0.41,0.45,0.44,0.38,0.42,0.34,0.5,0.43,0.42,0.4,0.36,0.4,0.31,0.45,0.46,0.46,0.33,0.38,0.41,0.41,0.52,0.44,0.39,0.37,0.34,0.38,0.47,0.35,0.43,0.33,0.35,0.32,0.34
98,340200,芜湖市,0.28,0.23,0.24,0.32,0.23,0.2,0.18,0.48,0.58,0.31,0.5,0.27,0.21,0.2,0.2,0.28,0.22,0.31,0.43,0.4,0.47,0.41,0.43,0.31,0.27,0.23,0.25,0.23,0.2,0.19,0.18,0.24,0.29,0.24,0.23,0.24,0.16,0.21,0.19,0.26,0.26,0.23,0.2,0.21,0.2,0.31,0.23,0.23,0.22,0.24,0.19,0.21,0.27,0.25,0.24,0.22,0.21,0.2,0.2
101,340500,马鞍山市,0.14,0.11,0.11,0.16,0.08,0.08,0.05,0.18,0.28,0.15,0.25,0.11,0.08,0.06,0.07,0.15,0.13,0.19,0.18,0.19,0.17,0.15,0.15,0.11,0.09,0.1,0.11,0.08,0.11,0.06,0.1,0.09,0.06,0.1,0.09,0.1,0.07,0.1,0.1,0.08,0.06,0.09,0.08,0.12,0.09,0.08,0.07,0.08,0.1,0.09,0.06,0.05,0.09,0.1,0.06,0.08,0.06,0.05,0.08
103,340700,铜陵市,0.05,0.07,0.06,0.1,0.06,0.05,0.04,0.13,0.12,0.08,0.1,0.09,0.05,0.06,0.0,0.07,0.08,0.12,0.17,0.21,0.26,0.2,0.18,0.08,0.1,0.11,0.07,0.08,0.07,0.05,0.0,0.06,0.08,0.0,0.07,0.05,0.05,0.07,0.05,0.06,0.05,0.05,0.06,0.0,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.05
104,340800,安庆市,0.2,0.25,0.19,0.15,0.08,0.09,0.09,0.33,0.45,0.29,0.24,0.2,0.14,0.15,0.12,0.15,0.19,0.28,0.51,0.61,0.74,0.77,0.54,0.36,0.27,0.25,0.2,0.19,0.17,0.2,0.18,0.14,0.18,0.15,0.16,0.14,0.13,0.18,0.13,0.15,0.18,0.16,0.13,0.14,0.15,0.14,0.13,0.16,0.18,0.16,0.12,0.13,0.19,0.14,0.15,0.12,0.1,0.11,0.13
111,341700,池州市,0.08,0.08,0.09,0.08,0.08,0.06,0.05,0.16,0.17,0.12,0.12,0.11,0.1,0.08,0.12,0.12,0.08,0.16,0.29,0.3,0.33,0.37,0.27,0.23,0.16,0.11,0.11,0.15,0.09,0.07,0.09,0.11,0.09,0.09,0.1,0.1,0.07,0.08,0.1,0.08,0.1,0.07,0.09,0.09,0.07,0.09,0.09,0.11,0.11,0.15,0.09,0.08,0.07,0.07,0.07,0.08,0.07,0.08,0.08
122,360100,南昌市,0.2,0.17,0.13,0.14,0.13,0.09,0.07,0.21,0.26,0.19,0.18,0.18,0.17,0.18,0.16,0.27,0.24,0.2,0.22,0.24,0.29,0.32,0.23,0.25,0.16,0.2,0.19,0.17,0.17,0.19,0.25,0.15,0.19,0.23,0.18,0.18,0.16,0.2,0.12,0.15,0.12,0.13,0.16,0.18,0.21,0.13,0.16,0.11,0.12,0.11,0.1,0.1,0.12,0.09,0.09,0.11,0.11,0.08,0.09
