,城市代码,迁入来源地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,9.15,9.23,9.06,9.75,12.27,8.5,6.2,9.27,8.62,9.43,8.66,8.85,9.56,9.57,8.6,11.15,11.09,8.86,6.64,4.88,3.97,3.76,5.95,6.79,6.26,8.52,9.93,9.95,8.86,10.36,9.94,7.92,10.42,10.56,9.64,9.64,10.57,10.47,7.7,9.95,9.52,10.05,9.66,11.01,10.02,10.0,10.08,9.36,9.21,9.89,10.51,8.1,11.13,11.12,10.95,10.32,11.17,11.12,8.17
73,320100,南京市,1.06,1.02,0.97,0.96,1.08,0.68,0.56,0.93,0.94,0.92,0.82,0.97,0.96,0.9,0.87,1.02,0.94,0.73,0.63,0.55,0.52,0.59,0.84,0.78,0.76,0.99,1.0,0.92,1.02,0.92,0.95,0.89,1.14,1.06,0.99,1.1,1.0,1.0,0.95,1.21,1.08,1.15,0.99,0.89,0.92,1.19,1.11,1.04,1.05,0.93,0.81,0.8,1.13,1.05,1.03,0.9,0.86,0.74,0.76
74,320200,无锡市,1.36,1.41,1.26,1.03,1.01,0.95,0.78,1.24,1.31,1.32,1.14,1.18,1.21,1.21,1.18,1.11,1.07,0.95,0.82,0.64,0.67,0.68,1.0,0.98,1.0,1.19,1.29,1.32,1.12,1.24,1.07,1.0,1.34,1.41,1.31,1.25,1.27,1.14,1.2,1.26,1.35,1.27,1.28,1.21,1.09,1.35,1.52,1.39,1.22,1.06,1.02,1.06,1.34,1.33,1.24,1.43,1.22,1.01,1.03
76,320400,常州市,0.84,0.69,0.75,0.69,0.55,0.57,0.47,0.69,0.73,0.67,0.65,0.66,0.69,0.7,0.61,0.69,0.55,0.46,0.42,0.36,0.42,0.41,0.59,0.59,0.58,0.65,0.72,0.8,0.62,0.63,0.59,0.61,0.83,0.71,0.77,0.65,0.7,0.61,0.55,0.66,0.67,0.69,0.8,0.79,0.57,0.7,0.85,0.47,0.43,0.44,0.38,0.37,0.3,0.31,0.36,0.43,0.38,0.36,0.35
77,320500,苏州市,3.68,3.94,3.78,3.49,3.37,3.31,2.87,3.94,3.63,3.56,3.23,3.58,4.43,4.08,4.04,3.22,2.92,2.47,2.08,1.85,1.78,1.57,2.33,2.7,2.4,3.2,3.43,3.65,3.43,3.55,2.99,3.04,4.2,4.01,3.67,3.8,3.66,3.27,3.35,4.04,3.89,3.63,3.74,3.59,3.27,4.0,4.11,4.01,3.88,3.48,3.32,3.34,4.51,4.44,4.03,4.2,3.68,3.29,3.14
78,320600,南通市,0.83,0.86,0.75,0.71,0.57,0.6,0.54,0.84,0.87,0.73,0.74,0.85,0.7,0.78,0.87,0.56,0.47,0.48,0.56,0.62,0.68,0.7,0.68,0.81,0.69,0.75,0.83,0.81,0.8,0.68,0.6,0.63,0.81,0.83,0.75,0.75,0.72,0.7,0.63,0.86,0.78,0.78,0.7,0.69,0.65,0.78,0.85,0.89,0.85,0.78,0.71,0.77,0.93,0.83,0.79,0.86,0.76,0.73,0.74
82,321000,扬州市,0.24,0.23,0.25,0.21,0.14,0.14,0.11,0.22,0.33,0.34,0.23,0.33,0.28,0.25,0.23,0.15,0.13,0.14,0.18,0.21,0.27,0.25,0.27,0.31,0.33,0.27,0.27,0.34,0.27,0.24,0.25,0.25,0.24,0.25,0.27,0.27,0.23,0.22,0.22,0.23,0.25,0.23,0.27,0.25,0.19,0.27,0.32,0.27,0.25,0.21,0.18,0.28,0.28,0.24,0.24,0.28,0.23,0.24,0.23
83,321100,镇江市,0.28,0.28,0.24,0.2,0.17,0.17,0.13,0.3,0.31,0.23,0.22,0.18,0.31,0.28,0.23,0.21,0.2,0.19,0.18,0.19,0.2,0.18,0.23,0.26,0.22,0.27,0.28,0.27,0.29,0.23,0.23,0.25,0.27,0.25,0.27,0.23,0.26,0.22,0.19,0.23,0.29,0.26,0.25,0.24,0.16,0.24,0.31,0.33,0.28,0.28,0.26,0.24,0.23,0.34,0.3,0.26,0.25,0.28,0.24
86,330100,杭州市,14.15,13.49,13.64,15.42,22.74,18.66,15.33,14.07,11.78,12.2,12.75,14.29,13.26,13.49,14.77,20.74,20.47,16.45,13.23,10.67,9.41,9.63,10.7,11.21,11.18,12.51,12.46,13.06,12.99,13.79,15.45,13.66,14.54,13.15,13.47,13.33,14.55,16.08,14.22,14.95,13.77,14.4,14.37,15.64,16.93,15.88,14.04,14.05,14.05,14.92,16.02,14.03,15.95,13.94,14.55,14.31,15.33,16.5,13.85
87,330200,宁波市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,330400,嘉兴市,4.06,3.62,4.12,4.13,3.91,4.93,5.41,4.34,3.46,3.64,3.48,3.75,3.62,3.63,4.01,5.65,5.95,5.66,4.62,4.0,3.51,3.62,3.12,3.18,3.38,3.57,3.46,4.14,3.28,3.68,3.71,3.88,3.74,3.67,3.5,3.5,3.73,4.11,4.07,3.74,3.75,3.71,3.77,4.11,4.08,3.93,3.71,4.29,3.93,3.65,3.84,3.56,3.82,3.59,3.61,3.72,4.09,3.91,4.11
