,城市代码,迁入来源地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,3.45,3.95,4.72,5.21,4.78,4.58,3.46,3.01,3.56,3.37,4.44,4.58,5.06,6.61,9.78,6.86,8.94,5.89,3.87,3.24,2.73,2.71,3.1,3.14,3.25,3.33,3.56,3.61,3.74,3.45,3.65,2.96,3.44,3.9,4.2,3.88,3.82,3.5,3.17,3.17,3.94,3.65,3.81,4.11,4.33,4.2,4.1,5.07,3.98,4.23,3.97,3.64,3.26,3.93,4.02,4.31,3.89,4.18,3.29
73,320100,南京市,1.73,1.78,1.95,3.07,3.6,2.44,2.37,2.04,2.03,2.2,3.17,2.76,3.09,3.22,3.45,3.47,3.68,3.21,2.48,2.16,1.81,1.87,2.3,3.45,3.17,3.38,3.35,3.11,3.13,2.67,3.74,3.06,2.69,3.45,3.29,3.62,3.01,3.59,2.78,3.06,3.26,3.29,3.67,3.07,4.39,2.89,3.23,3.09,3.21,2.38,2.31,2.2,2.22,2.12,2.2,2.09,2.21,2.35,1.93
74,320200,无锡市,0.67,0.89,0.99,0.87,0.71,0.94,0.75,0.61,0.91,0.75,0.84,0.83,0.74,1.0,1.15,1.02,1.16,0.96,0.76,0.61,0.67,0.62,0.71,1.21,0.81,0.74,0.75,0.99,0.88,0.84,0.83,0.76,1.19,1.07,1.07,0.9,1.16,1.13,0.8,1.08,1.0,0.77,0.99,1.12,0.73,0.95,0.95,0.71,0.93,0.71,0.65,0.62,0.72,0.95,0.8,0.68,0.67,0.67,0.8
76,320400,常州市,0.47,0.66,0.63,0.58,0.56,0.6,0.51,0.55,0.5,0.85,0.8,1.17,0.76,0.87,1.01,0.78,0.81,0.73,0.57,0.57,0.54,0.51,0.66,0.43,0.54,0.63,1.12,0.67,0.59,0.61,0.79,0.56,0.98,0.77,0.78,0.73,0.51,0.49,0.59,0.77,0.68,0.61,0.88,0.78,0.71,0.58,0.68,0.45,0.21,0.33,0.31,0.31,0.23,0.36,0.45,0.45,0.4,0.33,0.41
77,320500,苏州市,1.51,1.62,1.98,2.1,2.04,1.96,1.5,1.15,1.5,1.78,2.17,2.26,4.22,4.43,4.48,2.28,3.15,2.31,1.69,1.51,1.46,1.39,1.37,1.32,1.51,1.61,1.61,1.61,1.57,1.62,1.45,1.38,1.63,1.76,1.94,1.99,1.78,1.56,1.34,1.6,1.97,1.55,1.38,1.89,1.52,1.51,1.69,1.45,1.65,1.72,1.43,1.81,1.45,1.79,1.61,1.72,1.83,1.62,1.59
78,320600,南通市,0.29,0.29,0.47,0.32,0.33,0.33,0.34,0.28,0.43,0.41,0.36,0.33,0.5,0.44,0.45,0.31,0.35,0.26,0.33,0.27,0.27,0.22,0.33,0.53,0.33,0.35,0.36,0.33,0.36,0.34,0.26,0.26,0.38,0.36,0.33,0.24,0.28,0.19,0.22,0.25,0.34,0.34,0.31,0.37,0.23,0.3,0.36,0.37,0.35,0.27,0.28,0.34,0.37,0.32,0.26,0.4,0.3,0.36,0.25
82,321000,扬州市,0.19,0.3,0.39,0.24,0.14,0.18,0.18,0.52,0.61,0.76,0.42,0.52,0.29,0.3,0.21,0.16,0.14,0.22,0.24,0.26,0.25,0.17,0.43,0.45,0.42,0.75,0.72,0.5,0.64,0.69,1.05,0.39,0.67,0.35,0.36,0.33,0.56,0.48,0.44,0.33,0.23,0.39,0.26,0.28,0.23,0.31,0.23,0.33,0.31,0.23,0.2,0.27,0.3,0.24,0.18,0.23,0.25,0.31,0.29
83,321100,镇江市,0.15,0.23,0.32,0.24,0.24,0.27,0.24,0.26,0.35,0.34,0.28,0.4,0.65,0.6,0.56,0.21,0.29,0.27,0.28,0.21,0.19,0.23,0.18,0.27,0.55,0.72,0.72,0.69,0.67,0.57,0.79,0.63,0.56,0.83,0.67,0.65,0.75,0.67,0.3,0.24,0.36,0.27,0.53,0.27,0.59,0.27,0.39,0.7,0.29,0.21,0.21,0.23,0.43,0.35,0.31,0.24,0.32,0.16,0.25
86,330100,杭州市,2.01,2.24,2.61,2.66,2.79,2.71,2.26,1.58,2.03,1.91,2.71,2.56,2.67,3.71,3.87,3.9,4.47,3.13,2.67,2.23,2.06,1.81,2.01,1.75,1.99,2.13,2.21,2.04,2.58,2.52,2.29,2.06,1.95,1.98,2.6,2.49,2.06,2.04,2.14,2.11,1.92,2.12,2.18,2.1,2.06,2.22,2.29,2.22,2.24,2.35,1.97,2.26,2.17,2.07,2.17,2.23,2.14,2.06,1.96
