,城市代码,迁出目的地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,3.9,3.89,3.76,2.97,2.3,2.11,2.17,4.58,6.14,5.17,4.1,3.91,3.82,3.99,3.0,2.01,2.01,2.32,3.35,5.28,8.51,10.11,10.92,8.82,7.55,6.33,4.71,4.8,3.98,3.42,3.17,3.68,4.03,4.02,4.03,3.54,3.27,2.84,3.71,4.21,3.89,3.79,3.83,3.19,2.5,4.7,4.64,4.46,4.07,4.06,3.4,3.65,4.69,4.54,4.39,3.4,3.37,2.67,3.33
73,320100,南京市,2.0,2.08,2.52,2.27,2.08,1.65,2.46,3.91,3.6,3.12,3.21,2.9,3.02,2.93,3.02,2.14,2.01,2.2,2.84,3.62,3.75,3.36,3.62,3.35,3.52,3.07,3.17,2.97,2.84,2.89,2.95,3.09,3.01,2.65,3.22,2.82,3.21,2.7,3.1,2.96,2.79,3.33,2.87,3.21,2.77,3.85,3.02,2.54,2.84,2.87,2.38,2.24,2.62,1.97,2.2,2.06,2.53,2.15,2.03
74,320200,无锡市,0.81,0.87,0.7,0.77,0.55,0.47,0.34,0.83,1.27,1.14,1.01,1.12,0.8,0.78,0.49,0.56,0.59,0.74,0.96,1.14,1.14,0.98,1.14,1.1,1.0,0.93,0.8,0.87,0.64,0.63,0.81,0.74,0.81,0.79,1.02,1.04,0.77,0.75,0.91,0.96,0.96,0.96,0.89,0.74,0.76,0.83,0.81,0.8,0.78,0.63,0.57,0.63,0.59,0.59,0.68,0.71,0.75,0.58,0.68
76,320400,常州市,0.63,0.66,0.61,0.6,0.47,0.46,0.29,0.55,0.82,0.72,0.74,0.77,1.03,0.96,0.55,0.55,0.63,0.68,0.9,0.87,0.76,0.58,0.7,0.78,0.88,0.6,0.64,0.71,0.61,0.49,1.04,0.92,0.61,0.67,0.65,0.68,0.67,0.91,0.66,0.79,0.75,0.6,0.49,0.54,0.66,0.63,0.53,0.48,0.28,0.26,0.17,0.19,0.22,0.29,0.32,0.38,0.43,0.3,0.28
77,320500,苏州市,1.54,1.6,1.82,1.72,1.35,0.95,0.87,2.06,2.37,2.13,2.15,1.96,1.58,1.52,1.32,1.44,1.66,2.17,2.74,2.72,3.19,3.11,3.24,3.0,2.34,2.21,1.85,1.69,2.12,1.62,1.38,1.44,1.55,1.84,1.74,1.77,1.44,1.46,1.4,1.51,1.6,1.78,1.81,1.6,1.45,1.57,1.67,1.6,1.63,1.31,1.29,1.36,1.66,1.75,1.46,1.54,1.19,1.31,1.27
78,320600,南通市,0.31,0.37,0.38,0.3,0.35,0.22,0.11,0.28,0.52,0.54,0.42,0.45,0.41,0.34,0.31,0.24,0.27,0.27,0.37,0.33,0.29,0.3,0.37,0.49,0.37,0.38,0.26,0.22,0.25,0.23,0.31,0.22,0.3,0.29,0.29,0.38,0.36,0.24,0.21,0.33,0.48,0.27,0.36,0.27,0.2,0.27,0.27,0.3,0.32,0.33,0.2,0.23,0.33,0.43,0.42,0.39,0.25,0.31,0.2
82,321000,扬州市,0.17,0.18,0.34,0.32,0.3,0.25,0.11,0.19,0.37,0.31,0.61,0.31,0.33,0.3,0.37,0.22,0.2,0.21,0.21,0.23,0.14,0.13,0.19,0.28,0.42,0.35,0.39,0.47,0.46,0.49,0.62,0.29,0.61,0.41,0.44,0.42,0.32,0.35,0.38,0.41,0.21,0.24,0.29,0.25,0.26,0.15,0.23,0.23,0.28,0.28,0.27,0.21,0.23,0.19,0.2,0.25,0.23,0.24,0.21
83,321100,镇江市,0.24,0.32,0.29,0.29,0.37,0.24,0.18,0.34,0.45,0.35,0.31,0.3,0.27,0.35,0.68,0.29,0.19,0.18,0.24,0.34,0.27,0.2,0.27,0.28,0.34,0.47,0.44,0.61,0.6,0.33,0.46,0.22,0.65,0.54,0.43,0.45,0.4,0.48,0.45,0.43,0.17,0.26,0.25,0.29,0.26,0.48,0.33,0.32,0.58,0.41,0.21,0.21,0.25,0.24,0.28,0.22,0.27,0.21,0.19
86,330100,杭州市,2.37,2.65,2.15,2.18,1.62,1.28,1.46,2.79,3.89,3.57,2.91,2.66,2.49,2.36,2.02,1.65,1.88,2.63,3.63,4.36,5.08,4.33,4.14,4.02,3.55,3.28,2.47,2.74,2.56,2.41,2.15,2.77,2.36,2.58,2.2,2.1,2.2,1.95,1.91,2.49,2.66,2.34,2.13,1.86,1.81,2.29,2.63,2.51,2.5,2.13,1.87,1.87,2.15,2.27,2.31,2.12,1.72,1.61,1.92
87,330200,宁波市,1.06,1.12,0.96,0.91,0.6,0.46,0.37,0.73,1.37,1.53,1.09,1.03,0.98,0.9,0.72,0.57,0.73,0.93,1.49,1.64,1.71,1.69,1.65,1.61,1.62,1.44,1.04,1.14,1.0,0.91,0.83,0.81,0.87,0.8,0.91,0.84,0.74,0.84,0.78,0.85,0.9,0.96,0.82,0.81,0.6,0.77,0.8,1.17,0.9,0.91,0.76,0.79,0.82,0.94,0.88,0.87,0.67,0.79,0.63
89,330400,嘉兴市,0.8,1.02,0.77,0.62,0.39,0.34,0.23,0.64,1.3,1.09,1.02,0.88,0.57,0.63,0.48,0.47,0.58,0.71,1.0,0.95,0.89,0.83,0.93,0.95,0.82,0.85,0.78,0.73,0.65,0.78,0.76,0.53,0.74,0.68,0.69,0.62,0.52,0.76,0.5,0.6,0.75,0.69,0.58,0.59,0.63,0.54,0.56,0.69,0.7,0.53,0.42,0.43,0.65,0.54,0.61,0.5,0.4,0.41,0.46
90,330500,湖州市,1.56,1.72,1.52,1.14,1.02,0.71,0.48,2.15,4.47,3.18,2.18,2.32,1.78,1.39,1.12,1.04,1.42,1.93,2.13,1.9,1.53,1.34,1.81,2.07,1.77,1.76,1.54,1.79,1.36,1.37,1.18,1.33,1.13,1.54,1.35,1.69,1.16,1.08,1.07,1.04,1.42,1.4,1.33,1.27,1.22,1.36,1.53,1.29,1.54,1.12,1.19,1.42,1.64,1.82,1.79,1.57,1.34,1.28,1.34
91,330600,绍兴市,0.34,0.4,0.39,0.36,0.24,0.16,0.08,0.24,0.48,0.56,0.43,0.44,0.37,0.39,0.38,0.21,0.21,0.24,0.35,0.39,0.33,0.31,0.42,0.51,0.47,0.41,0.45,0.46,0.33,0.33,0.33,0.26,0.24,0.37,0.34,0.3,0.28,0.25,0.29,0.29,0.41,0.48,0.37,0.25,0.22,0.3,0.35,0.21,0.53,0.34,0.29,0.24,0.27,0.4,0.33,0.34,0.22,0.24,0.23
94,330900,舟山市,0.07,0.09,0.23,0.08,0.07,0.06,0.03,0.04,0.09,0.2,0.17,0.15,0.07,0.08,0.06,0.05,0.14,0.1,0.09,0.07,0.06,0.08,0.12,0.08,0.16,0.18,0.16,0.11,0.08,0.11,0.07,0.0,0.11,0.11,0.1,0.13,0.1,0.08,0.07,0.1,0.1,0.12,0.13,0.05,0.09,0.05,0.08,0.0,0.0,0.05,0.09,0.05,0.07,0.05,0.07,0.0,0.0,0.0,0.0
97,340100,合肥市,29.22,28.88,30.19,31.04,29.66,29.32,44.19,46.67,26.64,26.48,27.45,27.19,30.18,28.29,29.55,26.52,24.55,29.19,32.36,34.2,35.16,33.06,28.01,25.55,25.84,26.45,26.58,27.26,26.72,32.81,32.78,30.92,30.87,27.24,28.31,28.59,33.07,31.37,31.92,32.42,28.96,28.49,29.38,32.84,31.9,32.61,29.21,28.69,30.17,33.91,32.84,36.05,34.74,29.9,29.73,29.44,34.01,32.94,36.01
