,城市代码,迁入来源地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,8.2,8.13,8.85,10.15,12.57,8.78,6.27,7.99,7.41,9.6,9.26,8.5,8.81,7.97,7.35,12.37,11.82,11.3,9.29,7.67,5.36,5.36,6.56,6.82,7.1,9.57,8.65,8.42,7.45,11.86,12.11,8.32,9.41,9.0,8.57,8.24,13.49,11.91,8.71,9.46,8.51,8.49,7.82,12.13,10.58,8.64,8.4,7.29,7.44,11.79,10.15,7.7,9.07,8.14,8.76,7.16,12.68,11.75,7.76
73,320100,南京市,1.32,1.03,1.51,1.36,2.03,1.19,0.96,1.23,1.21,1.57,1.57,1.31,1.31,1.31,1.21,2.0,2.44,2.1,1.77,1.47,1.11,0.93,1.12,1.3,1.61,1.16,1.27,1.42,1.19,2.15,1.98,1.52,1.27,1.51,1.41,1.43,1.53,1.94,1.53,1.49,1.36,1.39,1.41,1.52,1.58,1.35,1.37,1.21,1.16,1.08,0.97,0.97,1.08,1.1,1.17,1.02,1.19,1.16,1.04
74,320200,无锡市,3.09,2.95,3.0,2.72,2.67,2.84,3.09,2.68,2.68,2.92,2.65,2.64,3.0,2.9,2.77,3.06,3.03,3.17,3.0,2.59,2.44,2.04,2.32,2.7,2.67,2.74,2.74,3.55,2.56,3.56,3.53,3.25,2.94,3.23,3.44,2.93,3.87,3.08,3.38,2.97,3.07,3.53,2.96,3.24,2.84,3.07,3.19,3.11,2.48,2.35,2.17,2.41,2.36,2.76,2.63,2.73,2.49,2.39,2.73
76,320400,常州市,1.62,1.35,1.43,1.31,1.39,1.74,1.39,1.57,1.57,1.68,1.45,1.49,1.55,1.54,1.68,1.76,1.74,1.63,1.43,1.35,1.27,1.19,1.57,1.66,1.55,1.77,1.61,1.66,1.48,1.84,1.69,1.68,1.84,1.66,1.95,1.55,1.87,1.8,1.76,1.73,1.68,1.69,1.33,1.63,1.76,1.52,1.9,1.09,0.62,0.88,0.61,0.66,0.53,0.74,0.92,0.86,0.87,0.81,0.93
77,320500,苏州市,9.78,10.2,10.48,10.34,8.04,9.42,10.97,8.67,9.56,9.69,10.08,10.27,10.82,10.97,10.72,7.11,7.37,7.4,6.88,7.03,7.23,6.47,8.65,9.45,9.46,8.97,10.43,9.8,9.99,9.43,8.53,9.97,9.46,10.19,9.88,10.28,9.29,8.9,10.17,9.39,10.93,10.4,10.67,9.79,9.62,9.68,11.12,11.31,10.24,10.64,9.82,11.04,10.04,12.04,11.38,10.99,10.92,9.31,10.69
78,320600,南通市,0.71,0.85,0.7,0.65,0.53,0.48,0.6,0.71,0.64,0.79,0.72,0.67,0.69,0.68,0.62,0.54,0.58,0.68,0.7,0.7,0.69,0.68,0.75,0.55,1.03,0.96,1.06,1.09,0.72,0.59,0.66,0.72,0.6,0.67,0.76,0.71,0.64,0.61,0.63,0.72,0.66,0.61,0.57,0.54,0.52,0.61,0.68,0.56,0.75,0.53,0.57,0.59,0.67,0.66,0.64,0.72,0.7,0.56,0.61
82,321000,扬州市,0.27,0.26,0.28,0.3,0.15,0.16,0.14,0.3,0.36,0.36,0.28,0.27,0.23,0.28,0.29,0.19,0.19,0.28,0.28,0.25,0.32,0.34,0.26,0.35,0.31,0.28,0.32,0.37,0.33,0.3,0.23,0.39,0.31,0.37,0.38,0.26,0.24,0.28,0.19,0.29,0.33,0.25,0.32,0.21,0.19,0.21,0.3,0.28,0.25,0.21,0.19,0.26,0.2,0.29,0.27,0.26,0.27,0.21,0.25
83,321100,镇江市,0.39,0.34,0.41,0.37,0.39,0.37,0.37,0.35,0.44,0.42,0.52,0.39,0.48,0.42,0.36,0.48,0.42,0.51,0.39,0.41,0.42,0.3,0.37,0.32,0.44,0.48,0.43,0.48,0.34,0.49,0.48,0.4,0.49,0.44,0.42,0.42,0.49,0.48,0.32,0.46,0.37,0.34,0.29,0.42,0.38,0.34,0.4,0.43,0.28,0.32,0.31,0.31,0.32,0.32,0.3,0.34,0.35,0.32,0.3
86,330100,杭州市,32.3,33.9,33.22,35.59,43.74,43.38,37.85,31.29,26.26,29.07,34.06,33.09,32.3,34.21,35.18,33.0,33.48,30.63,30.25,30.16,28.73,28.98,30.54,31.76,31.46,31.84,30.53,30.15,33.71,30.37,33.75,33.57,34.51,31.69,31.01,33.43,30.96,36.53,34.32,35.42,32.87,33.83,36.18,34.23,39.23,37.53,33.92,34.33,37.31,35.92,41.0,36.95,40.08,35.45,35.41,38.47,35.18,40.61,38.7
87,330200,宁波市,2.74,2.83,2.87,3.1,3.44,2.95,2.71,2.64,2.68,2.39,2.37,2.65,2.61,2.83,2.95,6.23,4.91,4.2,3.77,3.26,3.13,3.44,2.78,2.61,2.47,2.99,2.72,2.86,2.96,2.85,3.3,2.59,2.79,2.67,3.09,3.03,2.89,3.04,2.6,2.97,3.25,2.84,3.0,2.89,3.09,2.84,2.62,3.01,2.77,2.93,3.0,2.63,2.7,2.46,2.74,2.46,2.72,2.61,2.51
89,330400,嘉兴市,10.98,10.23,10.24,10.2,8.11,10.46,13.95,9.44,8.29,9.32,9.69,10.11,9.77,10.16,10.77,10.78,11.08,11.37,9.96,9.65,9.92,8.99,8.41,9.14,10.29,8.91,10.12,9.96,10.1,9.19,8.68,10.39,9.28,9.83,10.02,10.35,9.71,8.84,10.85,9.59,9.96,10.2,10.28,9.87,9.66,9.62,10.26,11.49,9.91,8.55,8.83,10.13,9.17,10.78,10.94,10.42,10.18,9.47,11.0
90,330500,湖州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,330600,绍兴市,2.37,2.1,2.23,2.16,2.17,2.63,3.04,2.69,2.09,2.22,1.96,2.0,2.12,2.25,2.57,3.28,3.19,3.17,3.15,3.1,2.75,2.9,2.4,2.07,2.08,2.07,1.97,2.32,2.25,2.45,2.45,2.38,2.12,2.0,2.14,2.06,2.12,2.25,2.41,2.12,2.1,2.21,2.13,2.4,2.33,2.17,2.01,2.21,2.06,2.46,2.47,2.37,2.49,2.19,2.26,2.08,2.19,2.09,2.36
