,城市代码,迁出目的地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,6.91,6.54,7.48,7.41,6.57,6.78,9.14,9.03,6.78,8.42,7.1,8.68,8.37,7.59,7.17,4.25,4.54,6.59,9.48,11.8,12.58,10.55,8.47,7.43,7.65,7.83,6.87,8.42,8.42,8.17,7.5,11.63,9.81,7.8,8.34,8.63,8.61,7.62,12.34,10.29,8.38,8.58,8.66,8.16,7.06,9.07,6.69,7.58,8.42,8.14,6.81,11.04,9.09,7.31,7.8,7.89,7.94,7.02,11.41
73,320100,南京市,1.15,1.19,1.35,1.46,1.16,1.22,1.37,1.67,1.46,1.44,1.19,1.71,1.47,1.27,1.24,1.34,1.1,1.77,2.21,2.53,2.28,1.81,1.43,1.57,1.58,1.49,1.3,1.42,1.42,1.51,1.55,2.13,1.58,1.55,1.52,1.55,1.39,1.44,1.83,1.89,1.53,1.52,1.42,1.42,1.29,1.27,1.22,1.46,1.35,1.28,1.31,1.13,1.06,1.11,1.15,0.95,1.24,1.12,1.05
74,320200,无锡市,2.74,2.84,3.09,2.71,2.61,2.45,2.57,2.52,2.64,2.62,2.92,3.03,2.78,2.76,2.59,2.11,2.56,3.24,3.3,3.24,2.78,2.19,2.34,2.72,2.83,2.66,2.67,3.69,2.85,3.11,2.72,3.99,3.13,3.04,3.28,3.21,3.07,2.68,3.56,3.04,2.82,3.33,3.41,2.91,2.91,2.79,3.12,3.16,2.98,2.73,2.74,2.15,2.32,2.68,2.75,2.49,2.54,2.68,2.52
76,320400,常州市,1.57,1.12,1.4,1.41,1.3,1.44,1.34,1.22,1.27,1.42,1.53,1.38,1.52,1.48,1.21,1.15,1.36,1.93,1.88,1.64,1.29,1.16,1.09,1.2,1.63,1.48,1.4,1.81,1.62,1.59,1.49,1.7,1.38,1.36,1.57,1.83,1.7,1.5,1.87,1.39,1.4,1.6,1.6,1.51,1.5,1.52,1.33,1.69,0.87,0.45,0.49,0.39,0.45,0.51,0.62,0.69,0.75,0.88,0.76
77,320500,苏州市,10.48,10.64,9.67,9.89,9.58,8.15,8.36,10.6,10.2,9.83,11.13,10.26,10.26,9.91,9.38,6.6,7.59,8.24,8.3,8.01,7.36,7.3,8.46,10.13,10.49,10.62,10.52,10.5,10.84,10.03,10.25,9.89,10.17,10.48,10.31,11.01,9.74,10.24,9.58,10.6,10.87,10.65,11.04,10.65,10.43,11.7,11.1,11.41,11.74,10.7,11.23,10.22,12.44,11.15,11.09,12.29,10.97,11.11,10.26
78,320600,南通市,0.61,0.72,0.78,0.7,0.8,0.56,0.44,0.53,0.73,0.57,0.57,0.66,0.66,0.62,0.66,0.69,0.68,0.72,0.69,0.69,0.58,0.44,0.56,0.53,0.74,0.83,0.79,0.95,0.96,0.61,0.73,0.57,0.59,0.66,0.65,0.67,0.63,0.75,0.71,0.69,0.69,0.67,0.63,0.64,0.63,0.56,0.62,0.63,0.65,0.74,0.73,0.5,0.58,0.6,0.69,0.6,0.64,0.7,0.51
82,321000,扬州市,0.23,0.26,0.21,0.26,0.27,0.24,0.16,0.18,0.24,0.21,0.35,0.27,0.29,0.27,0.28,0.62,0.34,0.27,0.24,0.25,0.2,0.19,0.25,0.28,0.29,0.28,0.27,0.32,0.29,0.29,0.26,0.27,0.29,0.3,0.32,0.29,0.27,0.3,0.22,0.23,0.27,0.23,0.26,0.35,0.25,0.23,0.29,0.21,0.27,0.23,0.26,0.2,0.22,0.24,0.29,0.27,0.24,0.25,0.21
83,321100,镇江市,0.36,0.36,0.38,0.39,0.41,0.38,0.39,0.35,0.44,0.35,0.39,0.45,0.38,0.38,0.43,0.4,0.48,0.55,0.48,0.46,0.36,0.32,0.37,0.38,0.34,0.43,0.5,0.39,0.41,0.41,0.4,0.55,0.45,0.45,0.52,0.4,0.44,0.4,0.57,0.41,0.4,0.4,0.39,0.36,0.36,0.39,0.41,0.37,0.37,0.34,0.37,0.25,0.36,0.35,0.38,0.38,0.32,0.39,0.32
86,330100,杭州市,33.1,33.77,33.46,32.05,29.84,29.95,36.79,39.8,35.31,34.47,34.29,33.39,33.26,32.8,31.23,22.55,26.7,30.55,31.67,32.77,35.46,36.38,37.54,37.48,36.1,33.28,33.86,31.23,32.38,33.94,34.07,33.47,33.16,34.26,32.25,32.29,34.71,34.68,34.63,33.49,35.51,33.43,33.85,35.85,36.54,34.27,35.5,33.51,33.95,37.55,37.07,38.09,37.57,38.15,35.4,34.93,37.5,36.55,37.47
