,城市代码,迁出目的地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,5.47,4.81,4.8,4.64,4.24,3.93,5.68,8.04,5.69,5.0,4.69,5.33,6.12,5.21,5.0,3.22,2.87,4.3,6.5,7.94,9.22,8.5,9.64,7.76,6.73,6.0,5.25,5.33,5.73,5.3,5.24,5.61,6.73,5.54,5.48,5.89,5.43,5.03,6.29,6.67,5.8,5.34,5.82,4.93,4.66,6.21,4.56,4.45,5.27,4.75,4.11,5.07,6.01,5.02,5.23,4.71,4.86,4.53,5.2
73,320100,南京市,0.43,0.47,0.59,0.62,0.53,0.38,0.38,0.6,0.68,0.66,0.67,0.64,0.54,0.6,0.51,0.67,0.47,0.41,0.55,0.86,0.75,0.62,0.78,0.94,0.73,0.73,0.74,0.65,0.62,0.65,0.71,0.5,0.57,0.59,0.61,0.57,0.64,0.61,0.45,0.73,0.58,0.59,0.58,0.66,0.58,0.61,0.57,0.55,0.49,0.51,0.53,0.37,0.39,0.49,0.48,0.48,0.53,0.47,0.37
74,320200,无锡市,0.68,0.7,0.79,0.82,0.72,0.61,0.5,0.58,0.76,0.71,0.8,0.8,0.71,0.67,0.76,0.72,0.51,0.61,0.69,0.64,0.61,0.46,0.66,0.7,0.85,0.74,0.81,0.84,0.83,0.71,0.91,0.74,0.73,0.69,0.79,0.79,0.7,0.74,0.63,0.65,0.85,0.78,0.82,0.83,0.73,0.66,0.74,0.67,0.74,0.77,0.68,0.59,0.59,0.68,0.74,0.72,0.71,0.81,0.61
76,320400,常州市,0.37,0.39,0.42,0.41,0.47,0.33,0.25,0.25,0.35,0.36,0.37,0.37,0.34,0.38,0.34,0.33,0.32,0.35,0.33,0.36,0.31,0.27,0.33,0.36,0.33,0.38,0.38,0.42,0.43,0.37,0.39,0.27,0.32,0.4,0.48,0.34,0.36,0.35,0.36,0.32,0.34,0.42,0.36,0.35,0.4,0.33,0.38,0.29,0.18,0.1,0.11,0.16,0.11,0.16,0.16,0.17,0.21,0.18,0.17
77,320500,苏州市,1.98,2.08,2.16,2.07,2.02,1.85,1.51,1.81,2.0,2.0,1.88,1.95,2.05,2.02,1.95,1.83,1.55,1.7,1.89,1.71,1.73,1.41,1.68,2.09,1.93,1.83,2.24,2.2,2.23,2.24,2.54,1.97,1.93,2.07,2.35,2.45,2.24,2.5,2.09,2.03,2.16,2.2,2.44,2.21,2.25,1.91,2.13,2.23,2.13,2.07,2.16,1.88,1.77,2.01,2.18,1.95,2.09,2.09,1.73
78,320600,南通市,0.44,0.51,0.53,0.51,0.52,0.46,0.25,0.33,0.5,0.42,0.41,0.45,0.38,0.5,0.43,0.47,0.37,0.33,0.35,0.38,0.3,0.26,0.35,0.43,0.38,0.33,0.43,0.54,0.46,0.43,0.45,0.4,0.38,0.47,0.52,0.44,0.39,0.41,0.36,0.33,0.44,0.42,0.43,0.46,0.44,0.41,0.41,0.46,0.49,0.37,0.36,0.39,0.41,0.44,0.42,0.42,0.46,0.48,0.36
82,321000,扬州市,0.08,0.13,0.13,0.15,0.14,0.1,0.04,0.05,0.11,0.09,0.1,0.13,0.13,0.14,0.17,0.27,0.11,0.1,0.11,0.09,0.1,0.07,0.1,0.12,0.12,0.11,0.13,0.14,0.15,0.16,0.11,0.1,0.12,0.14,0.15,0.1,0.17,0.12,0.08,0.09,0.11,0.11,0.13,0.1,0.13,0.07,0.09,0.13,0.16,0.1,0.11,0.08,0.09,0.14,0.1,0.11,0.09,0.12,0.12
83,321100,镇江市,0.11,0.16,0.15,0.17,0.15,0.13,0.07,0.12,0.17,0.12,0.18,0.11,0.12,0.13,0.13,0.15,0.14,0.13,0.13,0.14,0.1,0.09,0.18,0.15,0.12,0.12,0.16,0.12,0.14,0.2,0.14,0.09,0.11,0.13,0.11,0.09,0.14,0.16,0.08,0.12,0.16,0.11,0.12,0.13,0.1,0.11,0.12,0.14,0.13,0.11,0.1,0.08,0.1,0.12,0.13,0.11,0.12,0.12,0.1
86,330100,杭州市,41.35,41.58,40.82,40.49,39.19,40.51,47.63,47.17,39.4,40.82,41.96,41.98,41.39,41.19,39.89,28.74,30.99,34.96,37.39,40.44,44.33,43.51,43.02,41.65,41.7,43.71,41.34,41.56,41.66,42.72,41.92,44.73,45.74,42.35,41.27,42.19,42.43,42.33,45.02,45.83,43.54,42.93,42.66,44.02,44.4,46.58,43.4,43.42,43.71,45.7,45.83,47.41,48.63,45.44,44.73,45.46,45.61,44.38,46.7
87,330200,宁波市,13.78,12.34,12.77,12.82,13.21,13.22,14.72,13.27,11.41,11.56,13.04,12.6,11.87,12.14,10.87,13.11,14.34,15.89,15.48,14.16,12.77,12.53,11.88,12.59,13.77,11.95,12.47,11.99,12.34,12.47,11.92,12.79,12.04,12.6,12.16,12.39,12.95,12.97,13.38,12.33,12.46,13.31,12.93,12.96,13.34,12.6,13.36,13.57,13.11,13.29,13.97,14.24,13.06,13.47,13.55,13.61,13.29,14.12,14.79
89,330400,嘉兴市,4.74,4.32,4.08,4.16,4.48,4.32,4.4,4.17,3.94,4.61,3.88,4.19,3.91,3.87,3.71,4.75,4.52,4.65,4.9,4.66,3.94,4.11,3.79,3.89,3.68,3.95,3.76,4.02,4.45,4.53,4.5,3.94,3.87,4.32,4.07,4.25,4.22,4.11,4.09,4.06,4.1,4.36,4.17,4.39,4.61,3.98,4.18,4.44,3.96,3.72,3.75,3.81,3.84,3.66,4.04,4.13,3.86,4.09,4.09
90,330500,湖州市,2.01,1.85,1.95,1.91,2.65,2.5,1.73,2.08,2.0,2.09,1.93,1.88,1.92,2.0,2.04,3.15,3.45,3.37,3.2,2.92,2.23,1.99,1.93,1.98,1.83,1.98,1.89,2.12,2.0,2.37,2.64,2.05,2.01,1.93,1.91,1.88,2.06,2.44,2.01,1.93,1.95,2.01,1.95,2.29,2.53,1.89,1.87,1.99,1.82,2.19,2.41,1.78,2.03,1.91,1.95,1.81,1.94,2.17,1.92
91,330600,绍兴市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,330900,舟山市,0.54,0.54,0.82,0.81,1.14,1.03,0.65,0.6,0.63,1.01,0.92,0.89,0.82,0.74,1.18,2.3,2.69,2.5,2.24,1.85,1.28,1.11,0.87,0.91,1.05,0.66,0.61,0.52,0.68,0.71,0.84,0.69,0.76,0.56,0.56,0.73,0.96,1.46,1.01,0.65,0.71,0.79,0.8,0.77,1.07,0.51,0.59,0.52,0.53,0.52,0.48,0.4,0.43,0.42,0.41,0.58,0.55,0.66,0.52
97,340100,合肥市,0.39,0.39,0.48,0.45,0.45,0.39,0.26,0.3,0.43,0.35,0.32,0.31,0.39,0.43,0.43,0.64,0.42,0.3,0.34,0.33,0.46,0.45,0.4,0.36,0.34,0.36,0.43,0.4,0.42,0.33,0.35,0.29,0.33,0.45,0.35,0.36,0.42,0.4,0.28,0.23,0.37,0.42,0.37,0.35,0.35,0.31,0.36,0.39,0.48,0.43,0.37,0.28,0.32,0.31,0.31,0.35,0.32,0.33,0.25
98,340200,芜湖市,0.17,0.19,0.23,0.16,0.23,0.22,0.11,0.16,0.18,0.18,0.22,0.19,0.18,0.14,0.18,0.28,0.23,0.15,0.17,0.12,0.16,0.21,0.18,0.15,0.13,0.2,0.19,0.13,0.2,0.19,0.18,0.15,0.2,0.2,0.26,0.18,0.19,0.14,0.13,0.17,0.13,0.17,0.15,0.17,0.17,0.19,0.21,0.16,0.24,0.17,0.18,0.15,0.13,0.2,0.22,0.23,0.19,0.17,0.12
