,城市代码,迁出目的地,20210915,20210916,20210917,20210918,20210919,20210920,20210921,20210922,20210923,20210924,20210925,20210926,20210927,20210928,20210929,20211001,20211002,20211003,20211004,20211005,20211006,20211007,20211008,20211009,20211010,20211011,20211012,20211013,20211014,20211015,20211016,20211017,20211018,20211019,20211020,20211021,20211022,20211023,20211024,20211025,20211026,20211027,20211028,20211029,20211030,20211101,20211102,20211103,20211104,20211105,20211106,20211107,20211108,20211109,20211110,20211111,20211112,20211113,20211114
72,310000,上海市,0.97,0.75,0.67,0.56,0.47,0.28,0.22,0.73,0.91,0.78,0.74,0.77,0.81,0.7,0.59,0.45,0.43,0.31,0.61,1.0,1.7,2.33,2.32,1.5,1.46,1.22,0.76,0.77,0.8,0.79,0.52,0.59,0.73,0.63,0.61,0.52,0.53,0.54,0.48,0.56,0.73,0.83,0.64,0.58,0.46,0.63,0.88,0.59,0.68,0.6,0.45,0.52,0.54,0.58,0.62,0.61,0.58,0.44,0.54
73,320100,南京市,0.18,0.17,0.17,0.24,0.17,0.08,0.06,0.21,0.39,0.27,0.31,0.27,0.26,0.33,0.21,0.19,0.17,0.2,0.28,0.38,0.42,0.36,0.4,0.44,0.4,0.27,0.21,0.22,0.25,0.27,0.23,0.12,0.2,0.24,0.28,0.23,0.27,0.18,0.17,0.23,0.26,0.12,0.28,0.24,0.15,0.2,0.18,0.18,0.2,0.24,0.13,0.15,0.17,0.2,0.26,0.24,0.2,0.23,0.14
74,320200,无锡市,0.32,0.31,0.19,0.22,0.09,0.05,0.07,0.11,0.18,0.24,0.3,0.18,0.16,0.19,0.21,0.08,0.1,0.09,0.12,0.19,0.3,0.26,0.31,0.24,0.22,0.29,0.21,0.22,0.23,0.17,0.18,0.13,0.15,0.28,0.15,0.2,0.21,0.16,0.15,0.19,0.18,0.27,0.21,0.11,0.14,0.14,0.2,0.18,0.23,0.17,0.1,0.12,0.16,0.13,0.2,0.14,0.21,0.11,0.15
76,320400,常州市,0.12,0.1,0.1,0.12,0.08,0.03,0.05,0.08,0.11,0.11,0.13,0.11,0.14,0.06,0.18,0.09,0.1,0.08,0.09,0.12,0.18,0.19,0.16,0.19,0.1,0.11,0.12,0.06,0.1,0.12,0.09,0.09,0.07,0.14,0.15,0.13,0.11,0.1,0.12,0.13,0.07,0.16,0.1,0.12,0.05,0.13,0.11,0.1,0.07,0.04,0.03,0.05,0.0,0.05,0.0,0.0,0.04,0.0,0.04
77,320500,苏州市,0.33,0.4,0.42,0.36,0.22,0.19,0.07,0.22,0.41,0.4,0.38,0.38,0.35,0.35,0.31,0.33,0.23,0.32,0.45,0.62,0.74,0.85,0.66,0.7,0.5,0.6,0.37,0.37,0.38,0.35,0.26,0.25,0.25,0.27,0.45,0.34,0.45,0.33,0.27,0.25,0.31,0.32,0.43,0.28,0.31,0.29,0.34,0.39,0.3,0.31,0.19,0.13,0.23,0.31,0.24,0.25,0.27,0.21,0.19
78,320600,南通市,0.05,0.06,0.06,0.08,0.07,0.03,0.0,0.05,0.14,0.07,0.0,0.09,0.16,0.08,0.09,0.07,0.05,0.06,0.06,0.07,0.1,0.11,0.12,0.11,0.08,0.0,0.0,0.13,0.1,0.06,0.06,0.07,0.11,0.08,0.1,0.05,0.1,0.08,0.0,0.06,0.06,0.08,0.05,0.0,0.08,0.03,0.0,0.0,0.0,0.06,0.04,0.04,0.05,0.05,0.09,0.05,0.04,0.0,0.03
82,321000,扬州市,0.0,0.0,0.07,0.05,0.05,0.04,0.0,0.0,0.06,0.06,0.06,0.0,0.09,0.14,0.07,0.05,0.0,0.04,0.05,0.05,0.04,0.07,0.07,0.0,0.09,0.07,0.0,0.0,0.0,0.05,0.06,0.04,0.07,0.05,0.07,0.0,0.04,0.06,0.0,0.05,0.08,0.0,0.0,0.08,0.04,0.09,0.06,0.08,0.07,0.04,0.05,0.04,0.06,0.05,0.06,0.0,0.0,0.03,0.07
83,321100,镇江市,0.05,0.09,0.05,0.1,0.0,0.0,0.02,0.04,0.06,0.12,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.03,0.04,0.08,0.05,0.11,0.0,0.11,0.0,0.0,0.08,0.0,0.08,0.0,0.05,0.0,0.05,0.0,0.0,0.08,0.07,0.06,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.08,0.04,0.06,0.0,0.04,0.0,0.05,0.05,0.0,0.05,0.08,0.04,0.0
86,330100,杭州市,0.68,0.57,0.56,0.49,0.39,0.2,0.29,0.56,0.98,0.94,0.78,0.63,0.75,0.53,0.45,0.41,0.36,0.44,0.75,1.14,1.47,1.65,1.41,1.28,1.11,0.93,0.65,0.62,0.67,0.74,0.59,0.63,0.68,0.75,0.72,0.56,0.46,0.56,0.44,0.57,0.59,0.56,0.56,0.4,0.44,0.48,0.43,0.57,0.6,0.38,0.46,0.45,0.6,0.47,0.61,0.57,0.44,0.35,0.46
